Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
70,2,1511.2677,1512.5759,1308.18,8,45.9,186.85,155.21,40.58,77,40.86,89.68
71,2,1513.7025,1514.1797,477.19,4,38.4,159,157.15,50.45,84.82,31.84,86.23
72,2,1515.2531,1517.7217,2468.59,20,51.9,129.92,160.67,90.36,89.92,18.54,85.36
73,2,1520.2686,1523.0254,2756.82,37,44,76.57,148.56,49.96,87.51,33.42,92.16
74,2,1523.5046,1524.8131,1308.5,21,58.5,65.41,165.65,34.64,98.57,37.96,114.13
75,2,1611.3806,1613.5811,2200.55,9,38.7,249.97,150.5,55.36,98.75,22.44,75.12
76,2,1655.3347,1658.0708,2736.17,16,43,182.4,155.94,50.78,82.41,19.97,99.88
77,2,1659.5714,1660.64,1068.68,7,48.9,177.86,162.7,39.19,85.02,36.64,78.91
78,2,1729.3903,1730.4801,1089.82,5,44.1,272.41,155.41,49.89,109.34,15.44,105.28
79,3,858.9844,862.1553,3170.92,14,50.6,243.9,166.53,107.8,62.52,10.47,48.03
80,3,920.2098,922.0896,1879.8,16,55,125.31,167.07,85.72,101.6,16.31,39.45
81,3,1001.4819,1003.0623,1580.44,12,53.6,143.66,168.68,30.64,104.97,30.15,49.13
82,3,1032.1338,1032.6226,488.78,14,42.2,37.43,150.98,48.1,44.04,20.17,34.86
83,3,1220.7531,1222.7797,2026.63,9,50.7,252.73,162.66,93.19,82.91,19.35,70.89
84,4,95.8105,96.7884,977.83,7,54.7,162.94,164.69,34.47,100.85,27.88,49.9
85,4,97.265,97.4151,150.16,5,53.3,37.49,156.39,44.79,40.73,22.27,47.81
86,4,98.125,98.2151,90.1,3,43,44.95,154.19,30.67,49.5,50.44,109.12
87,4,101.6022,103.8326,2230.44,21,53.9,110.67,170.19,40.47,102.71,21.85,36.96
88,4,825.6394,825.8674,228.05,5,41.7,56.73,156.46,36.8,91.19,72.14,113.17
89,4,1540.4546,1540.6635,208.88,10,38.8,23.19,142.93,42.19,41.74,26.38,106.99
90,4,1547.0003,1548.2683,1268.01,69,35.7,18.1,145.66,38.98,59.71,52.58,94.72
91,4,1551.5992,1552.1526,553.45,6,44.8,110.45,159.4,22.71,91.49,61.81,116.2
92,4,1647.3899,1648.0834,693.53,4,40.5,230.32,157.94,64.88,85.81,16.91,31
93,4,1649.3195,1649.5132,193.69,3,37.3,96.74,158.11,44.84,74.02,23.11,40.58
94,4,1663.5467,1665.5313,1984.58,7,61.8,294.69,158.6,38.94,104.14,17.92,41.71
95,4,1680.5999,1681.7534,1153.55,5,48.7,286.78,163.12,27.33,104.49,34.49,64.03
96,5,1309.1159,1309.1654,49.49,3,39.9,24.64,151.69,90.28,65.62,11.06,72.56
97,5,1326.9121,1326.9924,80.26,4,40.2,26.69,148.82,99.39,82.55,9.28,25.31
98,5,1711.5724,1712.2975,725.09,4,51.7,241.63,162.72,27.78,116.02,37.41,126.28
99,5,1716.2651,1716.4965,231.37,3,47.3,115.59,153.05,35.88,52.31,35.25,106.88
100,5,1728.7775,1729.3119,534.39,4,55.1,178.06,158.56,33.42,62.3,43.31,79.59
101,5,1761.7208,1764.7919,3071.05,12,43.3,279.17,160.9,47.6,86.39,18.66,36.84
102,5,175.5033,175.9554,452.06,28,50,16.74,167.28,26.79,68.36,43.33,85.12
103,5,306.0771,306.4192,342.01,5,42.3,85.45,160.01,36.46,78.41,42.08,95.4
104,5,674.1224,674.3525,230.07,7,46.4,38.31,151.3,39.43,80.68,22.26,41.95
105,5,674.7047,675.002,297.33,6,44.2,59.42,155.94,35.3,76.41,25.12,59.72
106,5,677.5407,678.1732,632.54,12,41.7,57.49,154.77,30.38,90.38,39.28,86.48
107,5,771.0714,771.7969,725.51,6,56.1,145.06,165.5,35.59,67.88,30.47,85.97
108,5,832.1834,833.4722,1288.84,7,55.2,214.77,165.76,31,81.4,28.04,67.34
109,5,1125.0601,1128.6866,3626.51,13,53.8,302.19,166.53,47.14,98.7,17.39,28.73
